03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
05 DL6368,93CE3308,08 CE5290,12 TS 8304,98 KY 6284,09 TS1006,97LM5138,03RN4399,
99CW2793,98 MO 4389,99 RN 8781,90CE4855,10 CW 8299,10CW 6385,08 SO 2149,04 KY 6528,
04 W8302,90 DL9208,94D112,01 OY7741,93W304,99 LM3562,94 WX 4581,92RN3813,
93 TN 1454,98OY8431,96LM 188,97 MN 7698,06 G 660,03 TN 6651,09 D 3231,92W3718,
96TN4292,08 LS 8678,04 WX 1306,99 TS4187,91 TS7179,07KY 5879,97 WH6793,93MO7096,
05 OY2108,01DL 5012,04WX7268,10SO7962,99DL 1718,92 MN 7546,97 OY 9782,92 WX 431,
97TN6355,10 KY 1014,95L3980,96MH8284,04 MH215,92LK 4637,06LS1009,07 CW6124,
09 DL 5927,08MH 8176,93 MN 1337,91 DL7182,02TN 4626,91 TN1085,10MH4707,94 D 4450,
97 TN 4480,95 KY8914,00 LM9729,98 RN 5636,10 LH 5688,08SO5192,09LS 8872,95OY 3313,
05 KE4000,07LH9907,92 LK 6983,98TS9069,03WX 7967,90 KY 230,02 L 7883,96 WH 4445,
92SO 7319,95 KY5067,07SO4052,00LD2028,98 MN 1133,97 SO2701,02 WX 8972,00C 7163,
95KE 4760,93 CN 9858,07 KE 291,96 W 4439,11KK 3900,04 LS 1297,94 MO4628,05W3344,
93 TN2612,98 KE 1265,01TS 1617,95 WH 4313,07MH 9595,09 KY 2039,00CE 5480,98 MH 9714,
07 MN 3643,96KK 116,91KK 7400,09WD4302,96 CW 4778,00MO7629,10 KE 760,03 MH6126,
00LS 2323,06MH 5073,09 CE 4380,02WX 1960,96TS4870,09 DL 1498,91 W5885,00G 918,
09SO9971,99KK 6,92 OY8438,99 RN6123,08L3244,95CN9574,99CW 9258,09 LM 7022,
99SO7518,05 W9026,11 D7559,99 MO 4266,09 DL 2703,98 WW5279,03CN2836,01LK4924,
00 KE 6066,95OY5941,04 WW1780,98LK 8238,06KK808,04 DL5745,05 LD 3537,96 LS1135,
10OY7966,10D7371,05 KK 8456,09 CE 8238,01 MN 2988,98CN9776,92DL5082,11 TN 3280,
99 MH3582,04 KY 1306,91 WH 3678,03 CW7442,00LM 9893,08 DL566,94KK2303,02D 5469,
97 CW1458,02 CN 5343,06 LD 3128,98MH 2132,97D7921,95 LK8644,01MN 2518,05 KY 45,
99KK2070,10TS 1376,10CN 8234,05 L 4736,95CE4367,05KE3117,03KY1031,94 MN 4379,
95 KY 7863,07 TN 5984,05KY5911,95 WD 9653,92MO 1147,99KY 1654,11 LK327,04 RN 3817,
92 KE4770,94LK8284,05 DL 2728,09CW4239,97 TS3536,98W 2263,99WW5033,01 KK4428,
03 SO 2906,07 CW 9503,00 LM 6806,99 MO9839,08 W 2868,09 KY 2348,91 G7225,11 MH 1676,
09TN 6627,03TN1023,05MN 3292,04 CE267,06 DL 4634,09MH 3065,91 DL 9128,08KY3660,
09 MO 6669,97TS168,04 LS1697,99LS 7579,94MO 5945,08 RN9471,96WD2813,91 OY39,
08 WH 9532,96 W5479,94LM 5944,09WW 7569,02RN8775,00 LH 9493,07 TN 8919,06 MH 291,
97 LM 1831,01RN5742,92 LS 437,10 LH 9821,01 KE7962,00OY 7202,03 KY 9021,92 D 7429,
00WH 9795,95 CN9521,92 WW 7964,02LH 9740,04 C 5383,11 LK8420,93D8662,03D5810,
05 D6616,03MH 4460,05 LS 7777,09 WH2429,05 KY 4272,09LM 9161,94 TN 665,05 DL4164,
98LD 2839,93LS8111,11WX 4633,07 LD 784,96CW107,92LK 9904,03MH752,12L 7493,
02 SO 7486,91 OY4539,92CN 2155,05MH 2712,06 C7022,04SO1224,07TS91,99 SO 3949,
07CW 124,05 W 3468,99D6308,97 WX4842,99 LK1199,96 WX8766,09 WH1789,01 LS5339,
07RN 6546,04TS1230,08MH7321,09RN2611,05 W5149,95L8104,11 KY 939,05 WX 2391,
92KY3295,99DL 5260,06 MO867,98 D9104,06 TS 9383,00 LH2449,10KE 271,99 RN 8405,
06LD8686,00 KY 6412,04KK1833,08 KY 7555,92 W 360,98 TN 8747,06 W5989,07KK 7427,
91 LS 563,07WX5843,05RN 6489,98W4856,95MN6196,07LM171,97WD 864,06TN5575,
91KY3444,00RN 5723,98 W 1388,10 WH 5982,08 KE4077,06 G 5492,07L 4128,04 MH 6661,
99WX298,95 WW5536,93 DL9797,02 WD 1712,09CW5793,10CN 8369,06RN292,96LD 5724,
03TN 6594,04MH 8224,02W9014,01SO 4514,96 L374,06LH 2039,96WD1397,06 OY 6621,
07 MO 6868,02MN2934,11TS4348,09 MH 9999,99LD 5248,95MN 7427,92WD9818,09 MN2308,
94 MO6468,08 TN 3616,11G8117,92 CW 3807,96L 9878,07 WX 5191,01 W1162,92 DL 8928,
91WH 3692,01WD5259,04MO4471,05 MH 6317,93 MO8321,92MN 4691,05 G 9335,00 LH7365,
92LK9999,11CW1979,03 D3361,99 OY 65,01 TS9651,03CE 5403,08 CW8368,01 MO8375,
92LM 8516,98 WX 3757,08WH9465,01LM7249,09MO7700,00TN8785,10 WH8043,11KY9930,
07CW 3491,93G 1063,07WH4422,93 LS7208,97 MO4050,02 RN 1100,95 C 2909,93SO 7927,
93LD5932,96 LM9125,97 L3143,06LH6248,03LK 728,07 MO202,02TS 6750,01SO3862,
11LH 3110,93TS 6114,92 WX7581,06 KY4714,94 L 1558,91LM1799,09 TS 7086,00DL5631,
93 SO2106,06KK1985,10 SO3726,01KE8677,02KE3595,94 CW3192,06 LK 6755,97WH 84,
08L 121,08LS 7240,06 WH174,97 WD 6122,11 TS 2602,91 W 5012,02KE 2179,03 LD 8440,
10DL 6739,03 LM 3387,96 CE9091,97CW26,91LK 9016,97RN3941,08CW345,02 D8246,
90 LH 5826,07 LS 9310,90 CE2882,97W3197,07LS3336,98 KK1946,01 LH 9111,91WD7953,
03TS 7266,11 CN366,08 SO2379,12 MH2276,03TN 2387,08LM 28,05RN7881,93WH2795,
97LK 1248,00 DL 9403,11L 4894,07 G 760,91 D409,05 C 6979,97WH8223,06 W3066,
96LM 259,99 RN 1522,93 MH2932,93 WH3446,06WX 1403,09 WD 6184,03G6507,91KK8453,
96 MO6529,10MO 6783,03LK 6898,97LS7182,08 TN1701,07 KK5940,00L3138,02TN 4540,
03DL5073,00LM 7652,98 RN 7609,97D5289,96CN4172,02RN 1336,03LD 5433,00W125,
05WH 5066,06W428,01CE6943,94 OY 5551,99 KY8048,04 LK 8169,07RN3740,95MH 6483,
11WX4718,11 OY2412,91L7433,99 TN 4160,92 MO 789,05OY1933,94 CW2842,93 KY2205,
04 MN 7363,02 W 9082,94MH4138,05 MO482,98 MH934,93RN 7365,92LM 3243,00 CW 9744,
10 WD8947,91LM 8021,09 MN 4599,09CW44,05 KY 3399,08C 6570,10 KK9384,07MO 2309,
12MH 9615,90MO8862,98LH 5211,01 DL 5612,00 MH1156,04 SO 6230,07 W 4372,04 MO2224,
03G4585,12WD 1011,94 MO4829,91 RN 8751,04LK 9729,95D6899,93CN 3286,08 LK 4409,
09 L2019,92CW3392,98 TN8919,91DL6749,00LK 3481,98 MN 9898,07W 9637,09 WD 1093,
99 WX 8068,00 KY 3000,09MO89,96 KK2278,10KE5099,91W9822,95W 2047,93LK6397,
05 WH1808,91MN 1479,00W3306,90 SO 5690,06TS2263,91 LH3152,94CN714,92DL1936,
01MO5228,07 MH1524,05 LS 6636,00KE2322,06KY7908,04 LH5988,92LK 5746,08WD 7046,
96OY 6015,97 LS7332,93 D 812,94 LM 9692,95LK 3048,95 W6428,02WX 1922,93CN 9798,
00TS3282,99 WW5888,91MN 3446,96 KY1974,09 MO 3599,97G9561,09D6949,97 TS 7401,
90MO8964,06MH8317,99WD6240,06 LH1625,91 LK 5147,96 DL5622,05KY2808,06WX7154,
97 WD72,10G 3078,99KY 5965,96TS 566,99LD 2102,97 KE4292,95 RN 2217,98 WH1568,
98 CE9484,95DL 5251,09 OY 2572,96 G5771,07WH 195,03L664,11 LD 4832,91 LH3783,
92WH5507,03TS 8684,96LM 231,02G6684,98 CW3747,04KY 871,11 TN 213,03SO1933,
91 KY2851,02 KY 237,92 WW9628,09 LH 4302,05 WH1675,09 G 7896,05CE7150,99KY 3567,
08 LM 257,06 DL 7896,04SO2338,06G 4351,07 D 8658,91 WH 570,04MO 1415,00 LS3784,
97G2455,98LM 7030,04 G 590,02 KY9408,02 G431,01 LM1243,95WH 6500,08 MN 3193,
10 W6645,11G1507,94 LS 8255,98 CW7365,98CE4629,02W 181,97LM 4428,94LK4350,
93LK 6202,04RN 8962,03LD 1367,07KK 6106,04 W1149,10 W7152,06 MN6192,02DL7781,
03LD 6796,03 LS1975,98KY 8998,01MO 6805,08 LH 8460,08 LS3235,00TN 3900,92TN1258,
09LM 2632,03 MO 9380,11LK 7819,98 W 693,93CE 4814,90 WX 8348,03 CE9197,09 DL8416,
03 L 2988,01LD4518,03 SO6150,05KE6704,94TS 5793,95CE2513,99 TS 5033,04CN5396,
07WD 1766,10 LD 9640,00 KY 5830,08MH 9878,90LK2154,08KY 1354,12 CN341,10LH6596,
94MN5238,08 CW 8250,08CE 2733,94 SO2885,05 TN 4402,02CN8846,01L9705,94D 3200,
94L5684,04 TS 9638,98 KE 9227,98 LD5580,09 WH3044,10LM 2816,11 TN2592,92KE 600,
02C1124,91CE 2352,06CE 4432,11L 9953,06KY5971,10 KK 1207,00MN9188,10 RN3345,
91CN3829,02 LS5877,96L 559,09RN 371,92W6902,95 W 9611,08 CN2462,01 LM 8761,
11 LS 2817,00D2282,12MH 6177,96 D1468,94 DL 1354,92 LM3087,09G8466,95 G 2859,
00MH 8026,98 W2072,02 D9723,06DL8605,92RN9055,06LK 7748,04W9498,97CW 4667,
06 RN 6352,98LH1032,90 DL9064,99 WX 8257,97 RN 4294,09WX164,10MN7157,11MO 7643,
08CW 2252,98 TS 7296,92G 5446,09 WX 8201,97DL 8079,96CE5046,10WX4882,04 LD 9255,
96D8118,08 LS 417,02D 2639,11W9921,08RN 8638,98LK4257,01WX 2040,06LH2413,
97 MH 2101,06 TS 6671,94 CW 4608,96 CW8084,03 MO 9120,96 W2622,08 WD4130,94KY4840,
09TN 3583,00 L7400,07WX7523,92 LH 4480,00 LH 4016,04 L8577,91 LM 6177,00CW 5050,
05LS 9004,99 C9584,05 LD4430,02WD6307,96 KY 8189,11 LD147,00KY 8890,97LM 6044,
03MN 3232,03WH 469,01L 3404,92L1193,03 WD 4999,91KE9256,09MN9641,95 MN367,
06LH4161,06W 455,05OY2506,11 LH 3818,10LH2437,91L 9904,98CW2852,07W 2649,
07DL751,98 DL1037,06 KE7361,98 MN 1543,94KK8736,91CE 8175,12 W 6844,90TS 8285,
05 MO 7196,96G7037,02 RN9684,01RN 8904,07LH 1399,12KE 4633,06MO 6740,03G9354,
10 KY8415,90WH 4894,91 MN 7558,94MO 3382,97 TN 6070,96 LK 2074,92 KY 5464,00WH 1437,
10 G 4555,91 MH1262,07CN 809,98 KE 7297,00TS4228,91KK4160,92 CE7430,96MN 7456,
11W 4723,08 WX 8688,10 KE 7273,07 LS3246,97D1119,02L 2953,11MO1982,94G7166,
05 KK 2612,99 TS 7614,05L 8302,03LH2938,06 LH 7888,02W 5820,07G6150,07 LD 3437,
07LK 9244,00DL 6458,98 LH 4296,09 RN 1826,96WH 4349,04 MN 4767,96 KK 8809,07D 8953,
11RN 512,91D4056,93WH 3612,90 MH 4411,05 CW1340,12MN3667,92MH 790,92 CW 9470,
03LS 9703,01 WH 1189,08 KE660,08LD 7606,96LM4111,08D1407,02MO8025,97MH2254,
04D 7741,10 MH483,06 RN 1494,99 MN2040,94 TN691,05 MN 1473,01LH7309,97KE839,
92WW6281,12G 6418,95G7739,98 C3675,12 WD 1665,04WW960,10 DL 6713,05TS 9744,
92G1418,91LS9721,92 WX2159,92LH 648,10 DL 332,03 LM4521,94L 5257,08 LM5266,
05 MH8148,97 L2882,12 KY1691,05WW2682,10 SO4667,94W1277,01RN8894,91TN 993,
06 G8315,96 WD 6068,06 L6267,96 WD 2982,91MH5042,02TN 5175,04CW 2376,93 LK9166,
99MO 7224,02KY5189,93KE4248,06 LM4977,93 MO 4151,08 TN1817,11LK 9071,10G1533,
04W6607,91MN 6362,07 CN 7774,98 LK8802,07 MH8077,93 L7255,95 L 3321,10WX5801,
95LH 4164,94 LS3548,98 LH 3871,11 CN4903,05 W 9966,08 W 6780,05LD 2369,05 WH6357,
05 SO 2341,11L8603,05CE 9624,90MH 4634,08 RN 227,02 G4185,07 KE 7478,00MN 357,
02KK1569,91 LS5521,01WD 2240,01TS256,12OY9714,09LM4537,04 KE 6271,01CE2828,
97SO 5640,99 LH 3103,00LK 7307,01 LM9183,99 CN 4856,96 CW5945,03 MO880,98 TS 6931,
96TS 9425,02 W 2828,97 WX1106,00CE 9905,10MH 6138,93TN 8343,12 WD8971,10 LD7991,
95WW 1629,94 MH1179,91DL5248,02KE9417,98 RN3920,06MN 9799,99 CE 7223,95 MN2442,
96LH 7768,12CN 8175,97CN 4497,00 LD 4588,11WD8009,03 TN 3340,90L 9312,98RN5318,
91WD1087,10LS6384,93LK1071,95 MH 2313,06 G9952,93 CE 9823,94 LH2995,04LS 2433,
97MH1578,10MN7144,11 CW1264,91G5856,11 MH9477,05LM4847,98D3338,93 G5851,
09 W5830,98 G3286,92 MN2691,96CN7258,97 G9036,98MN214,02TS1690,06 RN 3818,
96G2889,90 CE94,07 WW 2988,92 LH 8190,94 DL 2903,92 WX 2947,95LD2438,00TS8764,
90 W 3814,91LD 8765,98 CN3280,99 WX 4135,11LD9748,07CE7389,03 LK2141,90 MN 9516,
08 LM 5147,10 LD 9126,97 TS 2240,90SO 9286,03W 167,99CW 8354,08D8100,00MN6348,
95 WD 8970,95LD 874,92KY 9065,92CN2046,02 KE 3077,97OY 5883,05TS5938,02 MH 16,
01 L 4769,94G5075,01CW 6180,01LM3493,10 SO 7451,97LM 4574,01 LH 8260,01 MH 8391,
95 CN765,02 D218,99CW4992,05WW3722,11W 8321,01 G3020,97 LM8961,07 WX6844,
98 W4948,11L 9536,91W524,05MN 3423,98 MO8501,04CE 1352,09 MO258,99RN 993,
90OY8482,08CN8890,11 OY3233,95MN 586,07LH 9968,04OY7386,94MO2006,96 LM2961,
04LK6676,10 D6947,00 LD8849,01CE4722,02LH1365,09 LK 4411,97MO 5387,95C 4779,
06 CW5241,99 RN1932,99 LD9546,03L 3477,99 G 540,12 C6085,00KK5516,97 D 5052,
99LD 1994,96L 1690,01 KE 2261,03 TN9011,93DL3603,11W6483,97 CN 58,03OY 7535,
97 KY6734,93 CN6338,04 C2494,05G4052,06MN 4418,09D5785,99 KK3414,00LH2749,
90 SO 4469,05 MN 5245,11 SO 4402,92 KE 9979,93 DL 984,11 TN4617,00LK8550,05WW6258,
08LK9691,02CW 2607,96LS 503,01 KE 1838,05 D7656,93LD2554,03L1037,09 KK 9760,
95 LD1901,10LH 8380,02OY 6819,02 TS 7654,02KE 4647,08W8789,92 MH 2374,08WD3610,
92CW 5072,02WD3818,09WH1779,06 TS 1952,95 LS8751,04LS5484,98 KY2168,02 DL 1910,
94TS 6251,01 CW3378,90 RN 9682,90 D 5825,01D1748,08LM6796,04 MN 1231,11 MO 3801,
05 KY 989,01MN 7257,96 KY 2081,08MN 8487,91KK 5408,02DL9107,90OY177,04WW 7097,
09LS5800,11MN 1304,99 MO2852,07 MN 7639,93 KK 4578,02CN 440,04LH 577,98MO2876,
06 MO 346,12 KY3579,10MN 5333,11WX 8568,06 WH2264,09 TS 9594,11 L 8256,99CN 2173,
07OY 4531,98 WD 9310,07 MN2295,03 KY 4354,09MN3163,11WD 7994,05TN 787,93 CN 8415,
94SO 8217,04WX 8506,92CW 2101,92 LH2054,09LD 4607,91CE 9751,09WD 3763,08MH1716,
05WH 3742,99 WD 2984,09 DL6862,95 LD 2263,96LM 6334,07 SO7972,12MO2919,01TN3660,
92CN 3943,09OY 2070,92 MO910,91 KY 1924,92 WX 3060,07LH 7795,08 MO1659,06 CN 3739,
03 CW881,91 WW8729,96LH409,11 WX 2776,00 LD6278,96OY9175,06 L 6081,00 DL1035,
90 CW2954,97L388,00 WW7422,94MH317,07 TN 4241,02CN 4928,10 LD2052,99LS7305,
07WX 609,10LD1192,02MH4268,08 CE670,09MO1565,97 MO2030,08 WX1404,96WH102,
07MO3326,07W 4983,92 MN6460,93 MO 5234,01MN 2407,99DL6693,03DL6843,12LD7047,
00KK 3094,07 MN723,05 SO5081,98 LD5500,10 MN 3651,07W6217,03 L7606,01C4913,
12 RN 2054,02 D4643,99 KE 1885,08OY2914,94 CW7065,90 LH3125,99KY474,90 KK 9617,
97MO 4521,09 CE 5875,07MO2969,08 LK 1178,08KK1856,95 WH 9593,12 TN3171,03 MH5793,
99 LH6062,09KK 4810,03SO 9320,03SO 861,05LM1573,99 RN 2685,99SO9769,03LS7040,
99MN 4843,10SO 5951,93CE5067,09RN8709,93 KY 1821,12LM3391,02TS115,97WW517,
02MO 2930,02 D 9521,99G 6743,92 L 6544,03 CE7699,91LK 4988,94 OY 7892,06KE 1980,
94RN7743,08 D 8577,94 WD 9404,08 LS 7106,10 DL 2443,99 DL 8720,97 TN 4366,00 SO9921,
99L6356,93 G884,00TS7902,05 WH 6765,97 CW1179,08 D 7318,06LH 7390,93WX9931,
05 RN 7839,92 CE7323,09W 4136,95LK7446,95 RN6279,02 D9350,02 CN 7741,04OY 2916,
03C 1340,96C1081,94L3612,03MO2675,92 SO 3225,94MN9932,92 KK7352,01 WH 3312,
04TN 98,91LK 4363,97 KK7125,98 WH 5112,95 LH8439,91 RN 5783,97KY 6521,01 TS 5914,
91 LS4088,92 LD1931,08 KE 5882,99 L5469,93 TN3039,01RN 5153,90 KE 9656,90CN2476,
97WD6489,95 WD3168,00D 885,08CW5186,11MH8941,06 OY5617,11 SO 1633,91RN1680,
04G1664,95 WH6978,97 LH 9903,00 OY 7743,94CN 6278,12KY5252,01KE 9332,93LD 8643,
11WH4864,99 LH6244,99 WD 7854,04 MN6013,97W3556,06 C 5200,99 LH5431,06LH 2580,
01MN6340,10SO1121,99MH8890,01DL 5507,00 LM4512,97CN4123,03KE 4013,96 KE 3737,
95MH5054,96WW 2908,94LH 1051,98 DL5923,93TN 8115,07MN 7568,94 MN78,92WD3265,
97TN9695,97MH 2780,02DL 6765,11TN5867,92 KY 648,09KK7737,96DL 7497,92 DL2137,
92KE7198,05SO2100,04KY5050,09CN8124,90 W1315,96MN1678,02C 2530,04WH7749,
97 TS1434,96LK3612,03CW 3703,94 L5378,05SO 5340,95LM8397,98LS2408,08WX 9350,
04KK7305,05 MO 5236,91 TN 2332,97 WD 8749,01 KE973,10MH7921,92WX 1126,96OY5914,
97 WW 7920,99 KY752,10 WH 9521,90LH 4045,11 KE9368,04 TN7776,07 LM6952,05CN 2597,
92 WH 5032,98WX 4103,07 MH 9973,03 L3083,94 L8779,00 CE 4941,06CE8769,06 TS 4421,
96 RN5462,11 LD6603,91TS9927,02 CW5,00 KK7000,07 MO3743,97MO 788,02WW 8297,
11 MO8689,01 WH8786,05RN1695,06G4932,07WH 8520,90LM2722,07 WW 7722,08WD7042,
11 KY3298,06 MH1163,05 W 612,96WH9861,01 CW 5321,91 MN 5977,99CW4987,01 LS 1495,
97L 2485,92MH644,96G253,99WD4181,94 CE 2770,00DL 6978,09L994,97 MN9401,
91 MO1324,04 LK 1884,93 LS 4196,98L9688,91MO 4549,04D 5380,11 MN1105,92LS 2168,
06SO 977,06 MN5310,02 LD5191,03 WH7495,09L3071,97KY 9828,04MN 5332,08LK3133,
07 MH7546,08 LM 6081,03CN5031,96 WH1697,08 CW4322,99 W 2269,93TS 4340,01 W 3481,
92 OY 5771,07KY 751,03 MO 944,07TN 7196,11TN8583,09OY 1766,95 LS819,94 TS 4449,
05 D256,06RN 876,97 KE 6849,00 TS 1563,03 RN 965,92TS8353,09 LH5814,07 W6929,
07 MO 9428,07 MO5346,05 DL277,10 WH3301,02 CE8213,01 KE9901,08LD 2065,07SO 2130,
94SO 9928,97G5675,06 DL 8266,07 LS 1426,03G726,12 KK7520,98CE 8937,02 LH 9408,
08 LD 1611,93 LS 1020,97SO 8099,03LH3720,11 LM1217,05WD7515,04 RN6007,91 KE 9917,
10 TN 5863,95CE2192,09CE1134,98SO 3547,06 LH 3997,01CW 385,12 OY4881,98 LD7195,
92 L 2448,10 TN6401,95DL 616,06 WH 7627,93 LM 1284,08 W 9883,02 CE1306,12WX8331,
04 RN2531,01LD 7009,93KE 6743,04 KY9629,98 TS5512,95 MN7649,91LK 2155,09D 1844,
05LK8132,10 WX5033,00 RN4831,90CW6987,10KE9088,08SO1403,97 MH4346,91 MN896,
09 DL661,07 TN1676,10 MN4886,90LS 806,92W 5512,96MH 7238,04 MH 5279,08 LM 2992,
93 SO 3743,08LD 3616,04 LH3408,03 LH1251,02 LH 8334,07 KK8994,93 LM6839,09 SO 9779,
11 MN8049,08KE 5346,12 MN 757,07CN 3293,94 KE6893,94 KY 232,92D7565,99CN 3088,
97KY 8288,02 WH5286,93G 9875,98 KE 210,91 WX256,08CN6809,05 LD 25,97 KE5852,
91DL5096,07D 4957,99TN 4720,08 CE 4701,08LS 3335,00OY 582,97WX 2992,05KE 9025,
96CE 6985,91MH 2945,92WW9192,10 OY24,04 RN 1609,07MH 7211,11 G 477,05 D 8153,
10 WX70,02WW7943,08 KY9915,90D 6016,98WH3397,02 SO 3618,11 WH2190,03 MH 5696,
05MH 5756,11 KE 7610,00 MH 8656,02LD 7402,01LM1137,03 KE 3056,01DL2510,05DL7776,
03 LM9090,04CE 2497,12 OY 2725,92SO 4246,08WH5599,05CE 8346,11 CW 7518,06LH 6452,
05KK2962,99MN6825,99 LK4168,98G 6957,09LS 9507,97KE6255,06 MO2185,93 SO1165,
10MN 5854,10SO 355,97LM 1082,10OY 719,08 CW9473,04 CN 8536,02TN 2254,01LD 5490,
95LH3351,04WX 8094,04MH 6849,98 WD 6715,91KE 7732,03TS7636,03TN 7922,02LS7824,
00LS6069,10D7138,97 LM5644,02LK 63,06 LH 7592,95 LM7590,97WW8871,05 WX 7141,
11G 9241,11 LK 2358,05SO 5005,99LK 6799,04SO 9060,91 LD3082,92TS 2711,95 G7448,
98 KY 1625,02 TS 5224,91 LS 8807,96 MN 4839,93WX3582,09 WD 2212,96 CE1434,05 L 7079,
09 WX 3932,98 CN2514,07DL6448,99RN 6265,08 W9346,97MH 962,97 L2919,05 SO1457,
02C9492,02DL4155,97 LM 6574,92 WH 838,02D 1099,09G 9857,94MN7080,06TN446,
93LD2328,99 W1972,00W 6162,95 LM3114,92LS900,98 MN5861,03TN 8711,11 TN 3953,
04 G 342,06 CN 3590,00LH 8276,92KE8046,99 LS8792,11 WX4976,03TS 1614,10 TN1880,
07 CE 3811,94 LD 8249,07MO 4328,90 G2460,08OY 4806,10W 3587,00 SO 1063,93TS 7086,
94 W 1893,05 MN3798,95 WX9147,09G 2275,98 LK 6246,91 TN9041,04SO4195,10 D2473,
99LH2319,94 CW 6606,08LH 9697,09LS7865,02CW 6727,97 MN 2471,98 KY377,96G5838,
94WD1991,01MO8680,99SO 745,10WX 2445,11DL5881,94 D 9373,99CN6133,12 TS 8627,
97WD8662,10 WX 8715,10WH3312,00RN838,12 L 1181,10CN5956,00MN1703,03CE 7215,
07KE6407,03 DL6347,92 OY4225,06 MN8549,97 L 5854,98C 1745,96CE8785,00 KY7842,
98 RN 66,92TS1379,96 W7585,03RN3494,04C9288,98 RN1478,08WX1560,91 D 8861,
02 KK 6367,00SO 2215,04WD 1476,11CN5272,00 MH 8920,99LM 1779,91 LM 5544,00 KK 6398,
08 WW1929,06 LK278,06G5730,05 SO9387,91 KY 5008,05 LS 631,12LH1354,10KK2082,
11LM808,12KK9658,01OY9085,05TN 6268,07KY2277,96TS 141,01W2945,92LH 3966,
09 CW 6828,06 G 3763,10KK 6533,00LD7497,92LK 4840,11 TS 5625,11G2404,94KE4278,
95LS8355,96 G 3198,06SO 184,91 CN4114,00 DL 3381,91 D6506,99 CE 5857,11MO 127,
05MO5729,90WX 1684,99 TN 9490,05CE4385,01 WD 6008,99 G7032,99 WX 7567,06TN 5802,
96 KE4038,92CN 9215,04D 9114,02 WW 919,10LS6749,91CE7334,00 CN 1792,96 LM 7805,
96CE 6438,10 DL4259,95LS5288,97 MO9511,98 SO8121,07MN7820,98DL 4467,10 CW 6225,
02W 5715,93 LH 9225,10 WX 3973,05 CW4602,04 RN 6726,93 LD 2418,98 CN9297,07 DL8619,
08LM 4270,02WX 5983,01DL6638,07KE8722,02 MO3308,97 LM 8676,10RN 5315,09 RN5012,
98LK 5243,05CE674,99LK1992,01OY5829,98 TS 1235,92 G 5227,92 MN5471,10C5143,
92C9952,01KY9572,01 CE4461,10LH 891,96 LS9828,05 W 9620,90D 8349,03WX 1621,
99 LH9361,01LH278,04CN2774,04 MO 622,93 LS1505,09CW 2042,94MO 7556,99 LH5079,
99 CE 9749,05LM 4952,06 LH4425,11MH2735,06 MO4162,11L 2908,03CN5860,96 G 8,
90 D5306,05 WD4911,07 TN4384,09KK 3619,95 MN 2769,92 MO4873,93KY3657,93D 2354,
01WH 2815,95LH 8281,96 W 8834,93 D6787,02G6578,02 CN 2219,10 RN3824,05CW 2553,
91MO 6152,94MO5019,99DL 7286,97LH 7017,92 D948,05 W 3175,06KY7541,03 D 117,
05W771,93WW 6017,98SO 8869,92WX7536,01 LD 5172,07 D 3140,07 DL8138,07 WH8393,
03CN880,05MN5580,07LK 1135,90 LH159,98LK 304,94SO 9342,09 KK 2554,00WX 664,
03 CW 4512,93 WH9015,96WH2179,08CW731,98 KY 3387,11 LM9930,97 C2458,01CE1176,
94CN4169,09D9599,10LM 9417,02 SO 4796,03L 7068,04 LD 3001,94 MH9628,04CE 7268,
06 G3243,07LH1678,97KY 823,10CE844,95 RN 6008,95 RN 3585,11 LM2632,03KE1219,
06 SO 919,92MO 9152,95KE6949,90 CW 1020,06D4058,98OY9084,06KE4399,12 LH 2927,
02KY 732,10WD 1127,92 KE 4567,01 LK 1708,04D8635,92 LD 6178,09G2744,97 KY7096,
93SO 499,94 WX8951,08TN5219,93 OY 8836,07 LH 1252,97KE 4700,09 KK8417,08CE1021,
04RN 3798,09WD 1433,91 LM4532,08CW5309,95CE5629,06 SO 6499,05LD7750,10L 1625,
00 TN5715,92MO 7469,92 G588,08L 435,97D 7358,97D 9787,98 G 9465,96OY 2888,
94 CW8023,05CW 7866,12WW2190,04LD3746,98 L 1540,92 WD 1982,99KK 7724,99LH7274,
08LH1520,91 WW 588,08CW 334,06D8088,90KK7352,11 TN6558,99 OY 5978,12WD 7317,
01 G5692,94 LM6203,96 CW8710,98 KK 9353,96 WD1004,94DL1913,98 W 8701,99 CN5985,
93KY 8429,94 CW 2792,09KK1555,99 WX 2749,09 W 989,96 LS 2738,06MH 562,09RN6948,
02L954,11LM 2056,08 D9668,92 LS7989,08LK 2126,03KK 6940,98WH5120,94 WH8407,
91L5684,98OY903,93TS7924,99 LH8281,10LD7293,93LK 3580,11G7609,04 W6587,
99 DL 7216,08DL5254,99 W93,05 G491,96MH8330,00 C 9864,96WH 8874,02KK7548,
93 TS 9124,06 MH5346,96 WD 9287,04RN 6377,98TN 33,94CW7686,11WW35,03KE8439,
95 DL1765,12 SO4261,99CW 4871,95KY7281,03 W 3696,00 MO2722,98WX 9956,99 WD1831,
92CE 8799,99LH 3968,02D9122,99 SO7128,05OY9156,11D 1601,95 CE 85,99 MO 9253,
08 SO2606,12 C 5623,03 LK9506,11 OY1161,93KE6759,03 L 5148,11TN 3713,07 LK2580,
